"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]","re(Mode(3)) [g]","re(Mode(4)) [g]","re(Mode(5)) [g]","re(Mode(6)) [g]","re(Mode(7)) [g]","re(Mode(8)) [g]","re(Mode(9)) [g]","re(Mode(10)) [g]","re(Mode(11)) [g]","re(Mode(12)) [g]"
1,9.47820795921817,13.5449809125285,14.285610952692,14.604365639311,14.7341642483293,14.9584154303834,15.0384826038024,15.3474761671577,15.4444425852105,15.7375608617789,15.7614499704175,15.883345906107
2,6.50299271004288,6.8060494422986,10.424950966163,16.8492846496077,16.8888124685084,17.1135822569993,17.1747101508845,17.583754261641,17.7005893436135,18.0166946923106,18.2862190269361,18.4562158491647
3,6.54350826901206,6.67310054546359,6.6854140834712,6.83271949694363,7.61713456781097,10.6218945041034,17.8743834355587,18.4192913740494,18.7497163326747,18.876028813486,19.0128151573074,19.2477428706604
4,6.54140467013803,6.64419620711233,6.70659109211516,6.71635951199321,6.77760031678052,6.80464334683816,6.94170457374057,6.9924315680286,6.99651400749635,8.28859140479459,10.8247654288318,18.1483510760938
5,6.61810231607094,6.81478039860868,6.89029838771762,6.95311509907887,6.969955600537,7.00554857433072,7.10515331765601,7.14700448096288,7.22066280023952,8.64005945785659,10.9019483577963,18.1936008604351
6,6.86455675712465,6.89133652631702,6.96629480600358,7.08034444875214,7.08295377818866,7.15360859009806,7.2288878361502,7.23309313880131,7.31165669036596,8.89201086962466,10.94801336923,18.2373450069797
7,6.93068313279711,6.98267434431727,7.00702406992524,7.12614836525843,7.14096324446242,7.22142173384595,7.28808546006312,7.29111513999812,7.35378521427148,8.99209390498043,10.956293606209,18.2567347739071
8,6.95825073218613,7.01694991363775,7.03705037573534,7.16402293300873,7.17576051879582,7.24931092291685,7.31724380208453,7.32957218692686,7.38113229013123,9.06796399087504,10.9698648473345,18.2747934907626
9,6.97370119836115,7.02426116785714,7.08232801061396,7.1736274075547,7.20495215998762,7.27301458394684,7.32667285904605,7.33520559288789,7.38559264988706,9.08070172441858,10.9798322829385,18.2805675469596
10,6.97939692497957,7.02701626093225,7.1005556769747,7.17543659042834,7.22482972832864,7.28314893152879,7.34078363043828,7.34552099917297,7.39446356620057,9.09632463864759,10.984408363511,18.2883412464982
11,6.97587174482588,7.02605378400192,7.11979668149463,7.1800804875687,7.22754089116828,7.28576082280799,7.34155844710544,7.34322719934405,7.40137524747074,9.10546834003001,10.9896844917594,18.2923283805748
12,6.97804947167301,7.02781283432081,7.12804030743048,7.17887742703576,7.23203043916382,7.29058387715733,7.34318314123535,7.34393861327794,7.40065545138728,9.11406272079674,10.9928372656517,18.2967548737566
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
